Country Name,literacyRate_2010_2018
Aruba,21.6255620320638
Afghanistan,8.2742854224311
Angola,7.336679246690534
Albania,32.47038014729817
Andorra,0.0
Arab World,73.49761030409071
United Arab Emirates,10.358571370442714
Argentina,88.06591203477647
Armenia,22.164497375488274
American Samoa,0.0
Antigua and Barbuda,21.98888821072049
Australia,0.0
Austria,0.0
Azerbaijan,88.69702741834853
Burundi,14.432090759277344
Belgium,0.0
Benin,8.367913140190968
Burkina Faso,8.42487208048502
Bangladesh,58.15999857584636
Bulgaria,10.928049723307286
Bahrain,42.54579586452907
"Bahamas, The",0.0
Bosnia and Herzegovina,21.681533813476566
Belarus,11.084062364366323
Belize,0.0
Bermuda,0.0
Bolivia,31.015755547417534
Brazil,91.94462246365016
Barbados,11.066666497124567
Brunei Darussalam,21.477741665310337
Bhutan,13.542078653971354
Botswana,9.647020128038198
Central African Republic,8.238714430067278
Canada,0.0
Central Europe and the Baltics,76.96513875325522
Switzerland,0.0
Channel Islands,0.0
Chile,53.67389848497179
China,21.32948557535808
Cote d'Ivoire,14.672822316487634
Cameroon,16.484616597493492
"Congo, Dem. Rep.",16.895540873209633
"Congo, Rep.",17.734436882866753
Colombia,62.792278713650184
Comoros,12.001462300618488
Cabo Verde,19.124231126573342
Costa Rica,21.69670783148871
Caribbean small states,60.78377787272135
Cuba,11.083614773220491
Curacao,0.0
Cayman Islands,0.0
Cyprus,10.964269849989146
Czech Republic,11.09255896674262
Germany,0.0
Djibouti,0.0
Dominica,0.0
Denmark,0.0
Dominican Republic,70.91020711263022
Algeria,9.04531521267361
East Asia & Pacific (excluding high income),95.14149729410806
Early-demographic dividend,77.22828080919054
East Asia & Pacific,94.83389960394963
Europe & Central Asia (excluding high income),98.81173875596788
Europe & Central Asia,98.07588195800783
Ecuador,82.73984612358939
"Egypt, Arab Rep.",32.169354756673194
Euro area,0.0
Eritrea,8.50783538818359
Spain,87.15892367892795
Estonia,11.098420884874134
Ethiopia,5.752353244357645
European Union,0.0
Fragile and conflict affected situations,62.57418145073784
Finland,0.0
Fiji,11.009123060438366
France,0.0
Faroe Islands,0.0
"Micronesia, Fed. Sts.",0.0
Gabon,18.550106472439236
United Kingdom,0.0
Georgia,22.105605231391053
Ghana,16.726301405164936
Gibraltar,0.0
Guinea,6.367953406439889
"Gambia, The",10.303113301595056
Guinea-Bissau,5.064573499891489
Equatorial Guinea,10.48561520046658
Greece,21.700520833333336
Grenada,10.955555386013454
Greenland,0.0
Guatemala,26.28771464029948
Guam,0.0
Guyana,9.51552581787109
High income,0.0
"Hong Kong SAR, China",0.0
Honduras,76.88841247558594
Heavily indebted poor countries (HIPC),58.70908991495769
Croatia,11.013928731282558
Haiti,6.8545943366156665
Hungary,11.011110941569012
IBRD only,88.14670732286243
IDA & IBRD total,82.97119479709201
IDA total,0.0
IDA blend,64.55420769585503
Indonesia,52.68684387207033
IDA only,61.69774839613173
Isle of Man,0.0
India,15.963950263129343
Not classified,0.0
Ireland,0.0
"Iran, Islamic Rep.",37.61136457655167
Iraq,44.555554707845054
Iceland,0.0
Israel,0.0
Italy,22.000449286566845
Jamaica,9.788888719346788
Jordan,42.73032463921442
Japan,0.0
Kazakhstan,22.173695882161468
Kenya,17.807557000054253
Kyrgyz Republic,11.065110948350698
Cambodia,17.620175679524746
Kiribati,0.0
St. Kitts and Nevis,0.0
"Korea, Rep.",0.0
Kuwait,63.70509677463108
Latin America & Caribbean (excluding high income),92.7102830674913
Lao PDR,15.883220248752167
Lebanon,10.563271416558155
Liberia,5.366817898220488
Libya,0.0
St. Lucia,0.0
Latin America & Caribbean,92.90059661865236
Least developed countries: UN classification,60.128090328640404
Low income,57.906695471869554
Liechtenstein,0.0
Sri Lanka,40.79709286159938
Lower middle income,72.91050635443796
Low & middle income,82.83216688368056
Lesotho,8.515022277832033
Late-demographic dividend,95.51712290445963
Lithuania,11.09062194824219
Luxembourg,0.0
Latvia,22.19835662841796
"Macao SAR, China",21.35316975911459
St. Martin (French part),0.0
Morocco,23.362173292371956
Monaco,0.0
Moldova,33.05793168809678
Madagascar,16.26410420735677
Maldives,21.81611887613932
Middle East & North Africa,79.43049028184679
Mexico,94.33562723795572
Marshall Islands,10.918342590332033
Middle income,84.90114084879556
North Macedonia,10.866667005750866
Mali,14.473453309800885
Malta,20.867838541666664
Myanmar,8.394577874077688
Middle East & North Africa (excluding high income),76.85211351182726
Montenegro,21.9210433959961
Mongolia,21.85334693060981
Northern Mariana Islands,0.0
Mozambique,12.96604792277019
Mauritania,5.944176567925345
Mauritius,71.35238562689888
Malawi,20.95540322197808
Malaysia,41.992835998535156
North America,0.0
Namibia,19.977988349066845
New Caledonia,10.866667005750866
Niger,7.290043301052511
Nigeria,6.890667809380422
Nicaragua,9.1793941921658
Netherlands,0.0
Norway,0.0
Nepal,14.170631408691401
Nauru,0.0
New Zealand,0.0
OECD members,0.0
Oman,62.0095918443468
Other small states,83.50162929958768
Pakistan,37.620193481445305
Panama,21.056214226616753
Peru,62.71595170762804
Philippines,21.62006123860677
Palau,21.788541158040367
Papua New Guinea,6.8444442749023455
Poland,0.0
Pre-demographic dividend,59.601275126139306
Puerto Rico,20.483914693196606
"Korea, Dem. People’s Rep.",0.0
Portugal,21.179404364691845
Paraguay,73.59867943657767
West Bank and Gaza,85.51759168836804
Pacific island small states,90.95653873019748
Post-demographic dividend,0.0
French Polynesia,0.0
Qatar,71.32027350531686
Romania,21.938753763834647
Russian Federation,22.15714772542318
Rwanda,30.91144731309679
South Asia,69.01593610975478
Saudi Arabia,21.0838851928711
Sudan,6.744131300184468
Senegal,16.36105219523111
Singapore,96.67777760823569
Solomon Islands,0.0
Sierra Leone,8.403611077202688
El Salvador,67.81746843126086
San Marino,11.101825290256077
Somalia,0.0
Serbia,21.867101881239144
Sub-Saharan Africa (excluding high income),62.50921842787002
South Sudan,3.835862053765189
Sub-Saharan Africa,62.566609276665574
Small states,85.51124911838107
Sao Tome and Principe,20.328859965006508
Suriname,31.325297885470928
Slovak Republic,0.0
Slovenia,11.077777438693577
Sweden,0.0
Eswatini,19.057518853081596
Sint Maarten (Dutch part),0.0
Seychelles,21.091326395670563
Syrian Arab Republic,0.0
Turks and Caicos Islands,0.0
Chad,5.368282318115244
East Asia & Pacific (IDA & IBRD countries),95.08187018500435
Europe & Central Asia (IDA & IBRD countries),98.80519358317058
Togo,13.795062171088333
Thailand,41.86322784423829
Tajikistan,11.088889227973088
Turkmenistan,11.077777438693577
Latin America & the Caribbean (IDA & IBRD countries),92.75406731499565
Timor-Leste,14.041756947835287
Middle East & North Africa (IDA & IBRD countries),76.64131842719186
Tonga,22.08887736002604
South Asia (IDA & IBRD),69.01593610975478
Sub-Saharan Africa (IDA & IBRD countries),62.566609276665574
Trinidad and Tobago,10.966666327582468
Tunisia,35.33774058024088
Turkey,84.47799936930338
Tuvalu,0.0
Tanzania,24.865391201443142
Uganda,24.437511020236542
Ukraine,11.108261108398434
Upper middle income,95.02804056803386
Uruguay,98.44547441270616
United States,0.0
Uzbekistan,55.54874504937065
St. Vincent and the Grenadines,0.0
"Venezuela, RB",32.055836147732215
British Virgin Islands,0.0
Virgin Islands (U.S.),0.0
Vietnam,10.555597941080734
Vanuatu,19.134034050835503
World,85.25803714328342
Samoa,22.007670084635425
Kosovo,0.0
"Yemen, Rep.",0.0
South Africa,61.695935567220054
Zambia,18.86173672146268
Zimbabwe,19.14179229736329
